date," ""temperature_degC"""," ""dewpoint_degC"""," ""cloud_fraction"""," ""press_msl_hPa"""," ""wind_spd_ms"""," ""wind_dir_degrees"""
1/7/10 23:00,-19.12666667,-24.04666667,0,1042.44,3.233333333,332.6666667
1/8/10 00:00,-20.6,-25,0,1042.7,4.1,350
1/8/10 01:00,-22.86666667,-26.18,0,1043.04,2.02,290
1/8/10 02:00,-23.52666667,-26.84666667,0,1043.3,1.3,251.3333333
1/8/10 03:00,-25,-27.8,0,1043.3,0,0
1/8/10 04:00,-25.87333333,-28.75333333,0,1043.02,0.2,13.33333333
1/8/10 05:00,-24.62666667,-28.01333333,0,1042.433333,1.3,86.66666667
1/8/10 06:00,-26.1,-29.4,0,1042,0,0
1/8/10 07:00,-24.4,-28.38,0,1040.48,2.02,145.3333333
1/8/10 08:00,-24.56,-28.82,0,1039.62,1.3,156
1/8/10 09:00,-25.6,-28.3,0,1039.1,0,0
1/8/10 10:00,-25.14666667,-28.38,0,1037.933333,1.58,102.6666667
1/8/10 11:00,-26.1,-28.96666667,0,1037.406667,2.02,118.6666667
1/8/10 12:00,-26.1,-29.4,0,1036.8,1.5,110
1/8/10 13:00,-27.57333333,-30.80666667,0,1037.22,0,0
1/8/10 14:00,-26.32666667,-29.12666667,0,1036.7,0,0
1/8/10 15:00,-27.8,-30.6,0,1036.7,0,0
1/8/10 16:00,-23.67333333,-25.87333333,0,1035.533333,0,0
1/8/10 17:00,-21.90666667,-24.25333333,0,1035.046667,0,0
1/8/10 18:00,-20,-23.3,0,1034.7,0,0
1/8/10 19:00,-18.23333333,-22.8,0,1034.126667,0.346666667,16
1/8/10 20:00,-17.8,-22.72,0,1032.986667,2.253333333,104
1/8/10 21:00,-17.8,-22.2,0,1032.9,0,0
1/8/10 22:00,-17.28,-22.28,0,1032.74,1.3,112.6666667
1/8/10 23:00,-18.09333333,-22.94666667,0,1033,0.28,18.66666667
1/9/10 00:00,-20,-23.9,0,1033,2.1,140
1/9/10 01:00,-20.6,-24.48,0,1033.233333,1.5,107.3333333
1/9/10 02:00,-20.6,-25,0,1032.853333,1.3,78
1/9/10 03:00,-20.6,-25,0,1033.2,0,0
1/9/10 04:00,-20.87333333,-24.85333333,0,1032.08,0,0
1/9/10 05:00,-19.48,-23.96666667,0,1031.26,0,0
1/9/10 06:00,-20,-24.4,0,1031,0,0
1/9/10 07:00,-19.56,-23.96666667,0,1030.486667,1.3,86.66666667
1/9/10 08:00,-20.52,-24.4,0,1030.386667,0.2,10.66666667
1/9/10 09:00,-20,-24.4,0,1030.3,1.5,80
1/9/10 10:00,-19.4,-24.33333333,0,1029.886667,0,0
1/9/10 11:00,-19.48,-23.9,0,1029.8,0,0
1/9/10 12:00,-20,-23.9,0,1029.8,0,0
1/9/10 13:00,-19.48,-23.9,0,1029.386667,0,0
1/9/10 14:00,-19.77333333,-23.75333333,0,1029.246667,0,0
1/9/10 15:00,-18.3,-22.8,0,1028.9,0,0
1/9/10 16:00,-15.29333333,-20.87333333,0,1028.56,0,0
1/9/10 17:00,-12.56666667,-18.96,0,1028.153333,0,0
1/9/10 18:00,-7.8,-16.1,0,1027.2,0,0
1/9/10 19:00,-8.006666667,-15.44,0,1026.353333,0,0
1/9/10 20:00,-6.033333333,-14.25333333,0,1025.36,0,0
1/9/10 21:00,-5.6,-13.3,0,1025.1,0,0
1/9/10 22:00,-4.046666667,-12.13333333,0,1024.786667,0,0
1/9/10 23:00,-5.146666667,-11.91333333,0,1024.766667,0,0
1/10/10 00:00,-6.1,-13.3,0,1025.2,0,0
1/10/10 01:00,-7.346666667,-14.04666667,0,1025.56,2.533333333,320
1/10/10 02:00,-4.253333333,-14.92,0,1025.246667,2.1,317.3333333
1/10/10 03:00,-3.3,-14.4,0,1024.9,2.1,300
1/10/10 04:00,-3.38,-12.72,0,1024.273333,2.533333333,301.3333333
1/10/10 05:00,-3.46,-12.05333333,0,1023.966667,2.1,308.6666667
1/10/10 06:00,-0.6,-11.1,0,1023.1,2.1,300
1/10/10 07:00,-2.426666667,-11.1,0,1022.873333,0.2,41.33333333
1/10/10 08:00,-3.086666667,-10.80666667,0.033333333,1022.633333,1.846666667,310
1/10/10 09:00,2.2,-8.9,0.25,1022.2,4.1,310
1/10/10 10:00,-0.44,-7.506666667,0.333333333,1022.553333,0.2,40
1/10/10 11:00,0.96,-5.44,0.791666667,1022.9,1.713333333,264
