Full_Zone_Code,State_Name,Zone_Name,Center_Lon,Center_Lat
3303,Ohio,Northeast,-81.21105973,41.38407263
3304,Ohio,West Central,-84.11905496,40.30443842
3305,Ohio,Central,-82.99722682,40.04734761
3306,Ohio,Central Hills,-82.15488474,40.61062597
3307,Ohio,Northeast Hills,-81.07286923,40.62389044
3308,Ohio,Southwest,-84.1409872,39.37266188
3309,Ohio,South Central,-82.81121317,38.96202387
3310,Ohio,Southeast,-81.74779769,39.68974164
3401,Oklahoma,Panhandle,-100.9905192,36.67231176
3402,Oklahoma,North Central,-98.20197175,36.58157183
3403,Oklahoma,Northeast,-95.74266382,36.49726263
3404,Oklahoma,West Central,-99.14645364,35.63030896
3405,Oklahoma,Central,-97.22857811,35.53330507
3406,Oklahoma,East Central,-95.45016575,35.40481482
3407,Oklahoma,Southwest,-98.89707489,34.74346596
3408,Oklahoma,South Central,-96.94023854,34.33708924
3409,Oklahoma,Southeast,-95.03841336,34.45349991
3501,Oregon,Coastal Area,-123.9009501,44.11622441
3502,Oregon,Willamette Valley,-122.9291628,44.75551284
3503,Oregon,Southwestern Valleys,-123.0603158,42.8424854
3504,Oregon,Northern Cascades,-122.0798387,44.50247262
3505,Oregon,High Plateau,-121.421396,42.9978431
3506,Oregon,North Central,-120.1947756,45.40098785
3507,Oregon,South Central,-120.0336066,43.3552678
3508,Oregon,Northeast,-118.0054403,45.05930839
3509,Oregon,Southeast,-117.6215409,43.19190698
3601,Pennsylvania,Pocono Mountains,-75.4932464,41.32637463
3602,Pennsylvania,East Central Mountains,-75.8151972,40.74217003
3603,Pennsylvania,Southeastern Piedmont,-75.83333054,40.19051317
3604,Pennsylvania,Lower Susquehanna,-77.2010701,39.96175217
3605,Pennsylvania,Middle Susquehanna,-77.02852754,40.88771168
3606,Pennsylvania,Upper Susquehanna,-76.52660664,41.72489039
3607,Pennsylvania,Central Mountains,-78.14442216,41.14813274
3608,Pennsylvania,South Central Mountains,-78.33829104,40.26509884
3609,Pennsylvania,Southwest Plateau,-79.70028277,40.3837425
3610,Pennsylvania,Northwest Plateau,-79.29721669,41.60408681
3701,Rhode Island,Rhode Island,-71.53218307,41.67320505
3801,South Carolina,Mountain,-82.74348446,34.98135812
3802,South Carolina,Northwest,-82.21508068,34.7232179
3803,South Carolina,North Central,-80.94972403,34.60742604
3804,South Carolina,Northeast,-79.56006099,34.03972318
3805,South Carolina,West Central,-81.90642649,33.93456697
3806,South Carolina,Central,-80.70079991,33.78541292
3807,South Carolina,Southern,-80.61612285,32.90043413
3901,South Dakota,Northwest,-102.7586706,45.25406111
3902,South Dakota,North Central,-100.2809587,45.4713873
