"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1973-01-06 17:00:00, "SAO  ", -13, -19, 0.875, 1033.6, 2, 210, 0
1973-01-06 18:00:00, "SY-SA", -12.2, -18.3, 0.625, 1033.3, 2.1, 150, 0
1973-01-06 19:00:00, "SAO  ", -12, -19, 0.875, 1032.8, 3, 150, 0
1973-01-06 20:00:00, "SAO  ", -12, -19, 0.875, 1031.6, 2, 90, 0
1973-01-06 21:00:00, "SAO  ", -10.6, -17.2, 0.75, 1031.8, 3.1, 90, 0
1973-01-06 22:00:00, "SAO  ", -11, -18, 1, 1032.2, 3.6, 140, 0
1973-01-06 23:00:00, "SAO  ", -11, -18, 1, 1032.3, 4.6, 130, 0
1973-01-07 00:00:00, "SY-SA", -12.2, -18.9, 1, 1032.4, 3.1, 90, 0
1973-01-07 01:00:00, "SAO  ", -12, -18, 1, 1033.1, 4.6, 130, 0
1973-01-07 02:00:00, "SAO  ", -12, -18, 1, 1033.6, 5.1, 110, 0
1973-01-07 03:00:00, "SAO  ", -12.8, -18.3, 1, 1032.7, 3.6, 90, 0
1973-01-07 04:00:00, "SAO  ", -13, -18, 1, 1032.5, 5.1, 130, 0
1973-01-07 05:00:00, "SAO  ", -13, -19, 1, 1032.5, 3.6, 120, 0
1973-01-07 06:00:00, "SY-SA", -13.9, -19.4, 1, 1032, 5.2, 150, 0
1973-01-07 07:00:00, "SAO  ", -14, -20, 1, 1031.7, 3.6, 150, 0
1973-01-07 08:00:00, "SAO  ", -15, -21, 1, 1032, 5.6, 100, 0
1973-01-07 09:00:00, "SAO  ", -15, -21.7, 1, 1032.2, 4.6, 140, 0
1973-01-07 10:00:00, "SAO  ", -16, -23, 1, 1032.6, 2.5, 140, 0
1973-01-07 11:00:00, "SAO  ", -17, -23, 1, 1032.6, 2.5, 120, 3
1973-01-07 12:00:00, "SY-SA", -16.1, -22.8, 1, 1032.3, 3.1, 90, 3
1973-01-07 13:00:00, "SAO  ", -16, -23, 1, 1032.2, 3.6, 90, 0
1973-01-07 14:00:00, "SAO  ", -16, -23, 1, 1032.7, 3.6, 90, 0
1973-01-07 15:00:00, "SAO  ", -16.7, -23.3, 1, 1033.5, 3.6, 90, 0
1973-01-07 16:00:00, "SAO  ", -17, -18, 1, 1033.9, 4.1, 90, 3
1973-01-07 17:00:00, "SAO  ", -16, -23, 1, 1033.8, 3.6, 80, 0
1973-01-07 18:00:00, "SY-SA", -15.6, -23.3, 1, 1033.6, 3.1, 90, 0
1973-01-07 19:00:00, "SAO  ", -16, -24, 1, 1033, 2.5, 90, 0
1973-01-07 20:00:00, "SAO  ", -15, -23, 1, 1033, 3, 60, 0
1973-01-07 21:00:00, "SAO  ", -15, -23.3, 1, 1033, 3.6, 70, 0
1973-01-07 22:00:00, "SAO  ", -15, -24, 0.25, 1034.1, 4.1, 30, 0
1973-01-07 23:00:00, "SAO  ", -18, -26, 0.25, 1035, 3, 30, 0
1973-01-08 00:00:00, "SY-SA", -22.2, -28.9, 0.25, 1036, 3.1, 30, 0
1973-01-08 01:00:00, "SAO  ", -23, -29, 0.25, 1037.1, 2.5, 30, 0
1973-01-08 02:00:00, "SAO  ", -22, -27, NA, 1037.1, 2.5, 30, 0
1973-01-08 03:00:00, "SAO  ", -20, -25.6, 1, 1037.7, 3.6, 30, 0
1973-01-08 04:00:00, "SAO  ", -21, -26, 1, 1037.8, 3.6, 30, 0
1973-01-08 05:00:00, "SAO  ", -21, -27, 1, 1038.1, 1.5, 330, 0
1973-01-08 06:00:00, "SY-SA", -21.1, -27.2, 1, 1038, 2.6, 360, 3
1973-01-08 06:16:00, "SAOSP", NA, NA, 1, NA, 4.1, 360, NA
1973-01-08 07:00:00, "SAO  ", -21, -27, 1, 1038, 3, 30, 0
1973-01-08 08:00:00, "SAO  ", -21, -27, 1, 1037.9, 1.5, 350, 0
1973-01-08 08:42:00, "SAOSP", NA, NA, 1, NA, 0, 0, NA
1973-01-08 09:00:00, "SAO  ", -21.1, -27.8, 1, 1038.2, 1.5, 30, 0
1973-01-08 10:00:00, "SAO  ", -22, -28, 0.875, 1038.7, 1.5, 330, 0
1973-01-08 10:11:00, "SAOSP", NA, NA, 0.875, NA, 2.5, 330, NA
1973-01-08 10:26:00, "SAOSP", NA, NA, 0.875, NA, 2.5, 330, NA
1973-01-08 11:00:00, "SAO  ", -24, -31, 0.875, 1039.7, 2.5, 330, 0
1973-01-08 12:00:00, "SY-SA", -24.4, -30.6, 1, 1040.2, 2.6, 320, 3
1973-01-08 13:00:00, "SAO  ", -23, -31, NA, 1040.3, 3.6, 330, 0
1973-01-08 14:00:00, "SAO  ", -22, -29, NA, 1040.1, 3, 340, 0
1973-01-08 15:00:00, "SAO  ", -22.8, -29.4, 0.75, 1040.9, 1.5, 220, 0
1973-01-08 16:00:00, "SAO  ", -21, -27, 0.875, 1040.6, 2.5, 270, 0
1973-01-08 17:00:00, "SAO  ", -18, -26, 0.25, 1040.6, 3.6, 330, 0
1973-01-08 18:00:00, "SY-SA", -17.2, -25, 0.375, 1039.8, 4.1, 340, 0
1973-01-08 19:00:00, "SAO  ", -16, -25, 0.25, 1039.1, 5.6, 360, 0
1973-01-08 20:00:00, "SAO  ", -16, -25, 0.25, 1038.4, 3, 330, 0
1973-01-08 21:00:00, "SAO  ", -15, -25, 0, 1038.3, 5.2, 330, 0
1973-01-08 22:00:00, "SAO  ", -15, -24, 0.25, 1038.4, 4.1, 330, 0
1973-01-08 23:00:00, "SAO  ", -17, -25, 0, 1039.5, 2.5, 350, 0
1973-01-09 00:00:00, "SY-SA", -20.6, -27.8, 0, 1040.2, 2.6, 360, 0
1973-01-09 01:00:00, "SAO  ", -22, -28, 0, 1040.5, 5.1, 330, 0
1973-01-09 02:00:00, "SAO  ", -24, -29, 0, 1041, 1.5, 330, 0
1973-01-09 03:00:00, "SAO  ", -23.3, -30, 0.25, 1041.5, 1.5, 300, 0
1973-01-09 04:00:00, "SAO  ", -22, -29, 0.25, 1041, 2.5, 270, 0
1973-01-09 05:00:00, "SAO  ", -24, -29, 0.25, 1040.3, 2.5, 270, 0
1973-01-09 06:00:00, "SY-SA", -23.3, -28.3, 0.25, 1039.9, 3.1, 320, 0
1973-01-09 07:00:00, "SAO  ", -24, -30, 0.25, 1039.6, 1.5, 330, 0
1973-01-09 08:00:00, "SAO  ", -25, -31, 0.25, 1039.4, 2.5, 270, 0
1973-01-09 09:00:00, "SAO  ", -21.1, -27.8, 0.25, 1038.9, 2.6, 210, 0
1973-01-09 10:00:00, "SAO  ", -24, -31, 0.25, 1039.2, 1.5, 270, 0
1973-01-09 11:00:00, "SAO  ", -23, -28, 0.25, 1039, 1.5, 330, 0
